Year,Country1,Country2,Whole_count,Fractional_count
1951,USA,GBR,1,0.333333333
1951,USA,GBR,1,0.333333333
1951,GBR,GBR,1,0.333333333
1955,USA,JEY,1,0.166666667
1955,USA,JEY,1,0.166666667
1955,USA,JEY,1,0.166666667
1955,JEY,JEY,1,0.166666667
1955,JEY,JEY,1,0.166666667
1955,JEY,JEY,1,0.166666667
1958,GBR,AUS,1,1
1959,GBR,GBR,1,0.166666667
1959,GBR,USA,1,0.166666667
1959,GBR,GBR,1,0.166666667
1959,GBR,USA,1,0.166666667
1959,GBR,GBR,1,0.166666667
1959,USA,GBR,1,0.166666667
1959,JEY,USA,1,1
1962,USA,GBR,1,1
1964,AUS,USA,1,1
1965,USA,GBR,1,1
1965,MEX,BEL,1,0.333333333
1965,MEX,USA,1,0.333333333
1965,BEL,USA,1,0.333333333
1965,USA,USA,1,0.166666667
1965,USA,GBR,1,0.166666667
1965,USA,GBR,1,0.166666667
1965,USA,GBR,1,0.166666667
1965,USA,GBR,1,0.166666667
1965,GBR,GBR,1,0.166666667
1965,HUN,GBR,1,1
1967,USA,CAN,1,1
1967,GBR,USA,1,1
1967,USA,IRL,1,1
1967,JPN,USA,1,1
1967,POL,USA,1,1
1968,USA,POL,1,1
1970,GBR,USA,1,0.166666667
1970,GBR,GBR,1,0.166666667
1970,GBR,GBR,1,0.166666667
1970,USA,GBR,1,0.166666667
1970,USA,GBR,1,0.166666667
1970,GBR,GBR,1,0.166666667
1970,FRA,FRA,1,0.333333333
1970,FRA,DZA,1,0.333333333
1970,FRA,DZA,1,0.333333333
1970,ITA,USA,1,1
1970,GRC,USA,1,1
1971,USA,BEL,1,0.333333333
1971,USA,USA,1,0.333333333
1971,BEL,USA,1,0.333333333
1971,GBR,GBR,1,0.333333333
1971,GBR,IND,1,0.333333333
1971,GBR,IND,1,0.333333333
1971,LUX,GBR,1,1
1972,USA,CAN,1,1
1972,USA,CAN,1,0.333333333
1972,USA,USA,1,0.333333333
1972,CAN,USA,1,0.333333333
1972,IND,USA,1,0.333333333
1972,IND,CAN,1,0.333333333
1972,USA,CAN,1,0.333333333
1972,JEY,USA,1,1
1972,AUS,CAN,1,1
1973,GBR,CAN,1,1
1973,USA,IND,1,1
1973,IRL,CAN,1,1
1973,IRL,CAN,1,1
1973,USA,NZL,1,1
1973,GBR,USA,1,1
1973,SWE,USA,1,1
1973,GRC,USA,1,0.166666667
1973,ITA,ITA,1,0.166666667
1973,ITA,ITA,1,0.166666667
1973,ITA,USA,1,0.166666667
1973,ITA,ITA,1,0.166666667
1973,ITA,USA,1,0.166666667
1973,ITA,USA,1,0.166666667
1974,GBR,CAN,1,0.166666667
1974,GBR,CAN,1,0.166666667
1974,GBR,CAN,1,0.166666667
1974,CAN,CAN,1,0.166666667
